Longitude,Latitude,Year,JANMAXTEMP,FEBMAXTEMP,MARMAXTEMP,Prcp,AUGMAXTEMP,JANMINTEMP,FEBMINTEMP,MARMINTEMP,RISK,Acres,PRESENT,FOREST
-87.15413189,32.87324295,2017,17.18341446,19.86114502,21.60352707,1399.142513,33.4991951,5.836724758,6.88304472,8.303215981,0,1,1,0.777337372
-87.15410506,32.78167087,2016,12.16681099,16.61437988,21.47098541,1480.48133,32.55900574,0.330330342,3.639031887,8.831839561,0,0.12,1,0.815770328
-87.15410006,32.86273286,2016,12.18524647,16.64855385,21.57288933,1523.706424,32.58304977,0.375915915,3.703953981,8.925029755,0,0.08,1,0.777337372
-87.15376506,32.77045788,2016,12.25548553,16.71660995,21.56608963,1469.548072,32.70734024,0.399234474,3.717529535,8.945672989,0,0.12,1,0.815770328
-87.15302,32.67207,2018,11.13744,20.07465,19.81081,1927.63,31.16875,-1.636755,8.499621,6.212025,0,1,1,0.803610325
-87.15031706,32.85919086,2016,12.18524647,16.64855385,21.57288933,1523.706424,32.58304977,0.375915915,3.703953981,8.925029755,0,0.06,1,0.777337372
-87.14778324,34.31130882,2017,14.09000778,16.9882164,18.44292641,1191.219649,31.76726913,3.866065264,4.276175499,5.327441692,0,1,1,0.515390277
-87.14752312,31.68007711,2016,13.63564205,18.02477074,22.8927536,1553.714279,33.32176971,1.224036694,3.921727896,9.870967865,0,0.02,1,0.814806283
-87.14729706,32.81262987,2016,12.1726675,16.56966972,21.43404388,1511.019598,32.50099564,0.342007369,3.616909504,8.810080528,0,0.04,1,0.858392656
-87.14676,34.33283,2018,8.096308,16.63417,16.37369,1593.577,29.50386,-4.515336,5.51927,3.884819,0,0.1,1,0.515390277
-87.14664706,32.80567487,2016,12.11544132,16.54310036,21.42799759,1504.70369,32.50115585,0.305070102,3.601910353,8.782312393,0,0.38,1,0.858392656
-87.14535161,32.86638286,2016,12.17755795,16.66366577,21.59251404,1527.822779,32.58848953,0.384906828,3.746385098,8.937874794,0,2.019167877,1,0.777337372
-87.14529,34.33414,2018,8.096308,16.63417,16.37369,1593.577,29.50386,-4.515336,5.51927,3.884819,0,0.1,1,0.515390277
-87.14495206,32.80585087,2016,12.11544132,16.54310036,21.42799759,1504.70369,32.50115585,0.305070102,3.601910353,8.782312393,0,0.25,1,0.858392656
-87.14459506,32.82389087,2016,12.12159348,16.56766701,21.42876244,1515.203669,32.49256134,0.322580636,3.648889303,8.80177784,0,0.19,1,0.858392656
-87.14455306,32.82383487,2016,12.12159348,16.56766701,21.42876244,1515.203669,32.49256134,0.322580636,3.648889303,8.80177784,0,0.19,1,0.858392656
-87.14434798,32.79184129,2017,16.98109245,19.71462822,21.45722389,1353.259095,33.27939224,5.642679214,6.689173222,8.210577965,0,1,1,0.858392656
-87.14418,32.80504,2018,11.01814,19.96658,19.7079,1737.716,31.04609,-1.543887,8.448015,6.197467,0,0.1,1,0.858392656
-87.14413206,32.80252787,2016,12.11544132,16.54310036,21.42799759,1504.70369,32.50115585,0.305070102,3.601910353,8.782312393,0,0.25,1,0.858392656
-87.14409056,32.71813401,2017,16.88143921,19.62156487,21.38143921,1626.884639,33.04534531,5.49626112,6.587784767,8.134561539,0,1,1,0.836633861
-87.14403306,32.80188587,2016,12.11544132,16.54310036,21.42799759,1504.70369,32.50115585,0.305070102,3.601910353,8.782312393,0,0.19,1,0.858392656
-87.14352891,32.80177171,2016,12.11544132,16.54310036,21.42799759,1504.70369,32.50115585,0.305070102,3.601910353,8.782312393,1,6.080210537,1,0.858392656
-87.14279991,32.80578156,2017,16.8271904,19.60689735,21.34072304,1331.973458,33.17799377,5.534272194,6.622842789,8.141985893,0,1,1,0.858392656
-87.14252,32.86189,2018,11.11983,20.04836,19.81044,1686.057,31.10692,-1.466131,8.600945,6.304132,0,1,1,0.777337372
-87.14222,34.33351,2018,8.096308,16.63417,16.37369,1593.577,29.50386,-4.515336,5.51927,3.884819,0,0.1,1,0.515390277
-87.1412391,32.79086847,2017,16.98109245,19.71462822,21.45722389,1353.259095,33.27939224,5.642679214,6.689173222,8.210577965,0,1,1,0.858392656
-87.13890301,32.84288685,2017,16.91122246,19.67315292,21.37857628,1319.17226,33.23577118,5.629009247,6.73854208,8.206479073,0,1,1,0.777337372
-87.13774206,32.82963786,2016,12.12159348,16.56766701,21.42876244,1515.203669,32.49256134,0.322580636,3.648889303,8.80177784,0,0.25,1,0.777337372
-87.13773506,32.79145787,2016,12.23647976,16.68181801,21.52815437,1478.226658,32.62207031,0.383360952,3.704348087,8.8686409,0,0.06,1,0.858392656
-87.13714706,32.89431485,2016,12.48837471,17.10563278,22.06156349,1496.796746,33.16503143,0.62606895,4.048556328,9.283786774,0,0.05,1,0.777337372
-87.13623707,32.77274488,2016,12.14221573,16.58952332,21.46259117,1499.981954,32.55300903,0.321368307,3.621827126,8.798880577,0,0.08,1,0.858392656
-87.13545,32.66554,2018,11.21942,20.17382,19.94464,1978.453,31.2954,-1.564781,8.610054,6.325258,0,1,1,0.836633861
-87.13539,34.2605,2018,8.167463,16.86511,16.62097,1594.272,29.57572,-4.321064,5.719472,4.056039,0,0.1,1,0.524542332
-87.12963507,32.76961588,2016,12.3022356,16.79844666,21.67968559,1477.834018,32.77868652,0.445877224,3.747946739,8.982660294,0,0.06,1,0.858392656
-87.12664807,32.81987087,2016,12.09990501,16.51158524,21.40689468,1510.96988,32.46876526,0.302074581,3.608080387,8.755754471,0,0.06,1,0.858392656
-87.12598806,32.85116586,2016,11.98894215,16.37026596,21.25177956,1539.765792,32.2478981,0.246412247,3.538606882,8.655797958,0,0.08,1,0.777337372
-87.12576806,32.82085787,2016,12.09990501,16.51158524,21.40689468,1510.96988,32.46876526,0.302074581,3.608080387,8.755754471,0,0.08,1,0.858392656
-87.12548037,32.82116987,2016,12.09990501,16.51158524,21.40689468,1510.96988,32.46876526,0.302074581,3.608080387,8.755754471,0,0.06,1,0.858392656
-87.12477006,32.87823785,2016,12.16915989,16.6331234,21.5870285,1545.040842,32.58888626,0.4079853,3.752175093,8.909150124,0,0.08,1,0.777337372
-87.12259262,32.85339101,2016,11.98232365,16.35466385,21.28884888,1554.829435,32.25155258,0.257127672,3.647758007,8.684559822,0,1.006090569,1,0.777337372
-87.12201506,32.85369086,2016,11.98232365,16.35466385,21.28884888,1554.829435,32.25155258,0.257127672,3.647758007,8.684559822,0,0.19,1,0.777337372
-87.12172206,32.87685085,2016,12.16915989,16.6331234,21.5870285,1545.040842,32.58888626,0.4079853,3.752175093,8.909150124,0,0.08,1,0.777337372
-87.12109007,32.85036986,2016,11.98894215,16.37026596,21.25177956,1539.765792,32.2478981,0.246412247,3.538606882,8.655797958,0,0.19,1,0.777337372
-87.12104007,32.80304087,2016,12.2057209,16.62915993,21.4844265,1482.372157,32.58009338,0.346736073,3.688277483,8.838528633,0,0.1,1,0.858392656
-87.11881607,32.76530988,2016,12.34493065,16.80838203,21.69480896,1494.357079,32.77741241,0.434508413,3.739567757,8.991462708,0,0.05,1,0.858392656
-87.11725,32.90515,2018,11.41196,20.33352,20.11802,1726.037,31.51047,-1.267564,8.881309,6.51807,0,1,1,0.777337372
-87.11691,32.7034,2018,11.33353,20.26549,20.01676,1948.285,31.36274,-1.511836,8.648629,6.387053,0,1,1,0.836633861
-87.11588507,32.82631086,2016,12.21905518,16.62046242,21.52158737,1489.722569,32.56033325,0.380783498,3.699598789,8.873291969,0,0.05,1,0.858392656
-87.11478,32.65359,2018,11.1533,20.13254,19.827,2048.582,31.20995,-1.692845,8.421661,6.193976,0,1,1,0.836633861
-87.11205438,34.29825112,2017,14.11663818,17.03043365,18.44575882,1187.140401,31.77759743,3.847228289,4.296518803,5.340196133,0,1,1,0.515390277
-87.11198507,32.83809986,2016,12.12138844,16.5349865,21.44021988,1497.648769,32.4332695,0.340030968,3.63478446,8.797282219,0,0.08,1,0.777337372
-87.11084,32.89616,2018,11.41196,20.33352,20.11802,1726.037,31.51047,-1.267564,8.881309,6.51807,0,1,1,0.777337372
-87.10541207,32.86448786,2016,12.03022671,16.41072845,21.31052017,1572.741846,32.25492859,0.263352334,3.575027466,8.666239738,0,0.08,1,0.777337372
-87.10539707,32.86471286,2016,12.03022671,16.41072845,21.31052017,1572.741846,32.25492859,0.263352334,3.575027466,8.666239738,0,0.12,1,0.777337372
-87.10536343,32.84147188,2016,12.01724148,16.36040115,21.26665306,1533.095945,32.24837494,0.23086594,3.530376673,8.643703461,0,1.006090569,1,0.777337372
-87.10390381,32.79053263,2017,16.81467819,19.6095295,21.35137558,1382.164989,33.13209152,5.514446735,6.642328739,8.119709015,0,2,1,0.858392656
-87.10360507,32.86524986,2016,12.03022671,16.41072845,21.31052017,1572.741846,32.25492859,0.263352334,3.575027466,8.666239738,0,0.19,1,0.777337372
-87.10278807,32.86523086,2016,12.03022671,16.41072845,21.31052017,1572.741846,32.25492859,0.263352334,3.575027466,8.666239738,0,0.25,1,0.823466897
-87.10205207,32.79293287,2016,12.13409042,16.55970764,21.44909477,1503.941301,32.4633255,0.342161268,3.610757828,8.768603325,0,0.25,1,0.858392656
-87.10158,32.89705,2018,11.33404,20.26534,20.02653,1764.4,31.40959,-1.332209,8.804334,6.423721,0,0.25,1,0.823466897
-87.10113807,32.87715585,2016,12.10364342,16.51222801,21.45218086,1600.144454,32.42171478,0.353195459,3.681513309,8.806272507,0,0.25,1,0.823466897
-87.0894,32.75411,2018,11.33768,20.2477,19.99784,1771.716,31.36007,-1.49899,8.656067,6.352843,0,0.1,1,0.88015151
-87.08911502,32.75401741,2017,17.14498329,19.9211235,21.62559891,1449.160465,33.40288162,5.737903595,6.798437119,8.228388786,0,1,1,0.88015151
-87.08880008,32.76853287,2016,12.14688396,16.57907295,21.48263931,1506.296972,32.49269104,0.354202151,3.577652216,8.775279045,0,0.12,1,0.88015151
-87.08742308,32.78721287,2016,12.14828777,16.56724739,21.46517181,1500.12471,32.47904968,0.343122035,3.586550713,8.777641296,0,0.05,1,0.88015151
-87.08725113,32.77012326,2017,16.8264637,19.63963318,21.37627029,1429.981972,33.16776657,5.521482468,6.632367611,8.127563477,0,1,1,0.88015151
-87.08721645,32.7689303,2017,16.8264637,19.63963318,21.37627029,1429.981972,33.16776657,5.521482468,6.632367611,8.127563477,0,1,1,0.88015151
-87.08621808,32.78948087,2016,12.14828777,16.56724739,21.46517181,1500.12471,32.47904968,0.343122035,3.586550713,8.777641296,0,0.19,1,0.88015151
-87.08555807,32.86739985,2016,12.00987625,16.37173843,21.29716492,1621.343507,32.21751022,0.278254658,3.614071846,8.673788071,0,0.08,1,0.823466897
-87.08547708,32.78965987,2016,12.14828777,16.56724739,21.46517181,1500.12471,32.47904968,0.343122035,3.586550713,8.777641296,0,0.05,1,0.88015151
-87.08301462,32.79009282,2017,16.81463432,19.62403297,21.3582859,1369.398851,33.1621666,5.504734039,6.636900425,8.13280201,0,1,1,0.88015151
-87.08248078,32.75618697,2017,17.14498329,19.9211235,21.62559891,1449.160465,33.40288162,5.737903595,6.798437119,8.228388786,0,1,1,0.88015151
-87.08196008,32.87028285,2016,12.00987625,16.37173843,21.29716492,1621.343507,32.21751022,0.278254658,3.614071846,8.673788071,0,0.19,1,0.823466897
-87.08070512,31.93593605,2016,13.28934097,17.74299431,22.46973801,1578.961193,33.26943588,1.034523487,3.756348372,9.565433502,0,0.19,1,0.771082461
-87.07913886,32.84838286,2017,16.64372063,19.41733742,21.25078201,1478.761006,33.03190231,5.490763664,6.610736847,8.172743797,0,1,1,0.823466897
-87.07437008,32.86728985,2016,11.91492271,16.26594353,21.15566444,1641.015779,32.07505417,0.217574969,3.538886309,8.549196243,0,0.1,1,0.823466897
-87.07309,32.8718,2018,10.82174,19.77528,19.50472,1765.729,30.75032,-1.61464,8.335374,6.06433,0,1.5,1,0.823466897
-87.07237208,32.85388286,2016,11.92817116,16.26885033,21.16223335,1605.275439,32.07522583,0.197512612,3.513405323,8.533201218,0,0.06,1,0.823466897
-87.07175083,32.78867921,2016,12.10771751,16.50891495,21.39978027,1522.465272,32.35730743,0.306702852,3.526872635,8.695116043,1,6.080210537,1,0.88015151
-87.07023808,32.80249487,2016,12.15610218,16.56486893,21.48184013,1529.598834,32.45942688,0.347248793,3.6041224,8.784361839,0,0.06,1,0.88015151
-87.06982808,32.77081487,2016,12.22257042,16.6453495,21.52545357,1499.521065,32.53076172,0.376934588,3.635512114,8.827793121,0,0.06,1,0.88015151
-87.06941709,32.67253589,2016,12.53556824,17.00458908,21.86999321,1476.360037,32.98532104,0.559811294,3.797754288,9.089548111,0,1,1,0.880992055
-87.06937808,32.86797085,2016,11.91492271,16.26594353,21.15566444,1641.015779,32.07505417,0.217574969,3.538886309,8.549196243,0,0.1,1,0.823466897
-87.06757708,32.82479986,2016,12.18959427,16.59137154,21.52098465,1528.413897,32.50195313,0.416567475,3.68356967,8.849145889,0,0.19,1,0.88015151
-87.06579009,32.67274089,2016,12.53556824,17.00458908,21.86999321,1476.360037,32.98532104,0.559811294,3.797754288,9.089548111,1,7.5,1,0.880992055
-87.06470539,32.66653609,2016,12.43427753,16.9698143,21.83317566,1501.141903,32.91343307,0.501151323,3.702517509,9.020352364,1,6.080210537,1,0.880992055
-87.06344479,32.64776769,2017,17.05989647,19.9286232,21.57513046,1758.614475,33.22425842,5.574665546,6.600441933,8.133110046,0,1,1,0.880992055
-87.06004,31.90782,2018,12.42711,21.8269,21.01221,1805.037,31.41714,-0.6688786,10.01262,7.037406,0,1,1,0.771082461
-87.05947909,32.75073788,2016,12.28621197,16.73090744,21.64249611,1493.022285,32.69284821,0.419780552,3.619054794,8.86386013,0,0.09,1,0.88015151
-87.05917941,32.83210814,2017,16.66688156,19.430439,21.19956207,1511.729202,32.99993134,5.455071449,6.576282978,8.136921883,0,1,1,0.88015151
-87.05895908,32.91628984,2016,12.12617493,16.62104034,21.5549984,1629.277544,32.49953842,0.404130816,3.787352324,8.889613152,0,0.19,1,0.823466897
-87.05859013,31.93120605,2016,13.45957279,17.8320694,22.72105217,1550.694617,33.41075516,1.101465583,3.823180676,9.670243263,0,0.05,1,0.771082461
-87.05779213,31.91050806,2016,13.48703003,17.89759254,22.79756737,1538.503373,33.4446106,1.146474838,3.82722187,9.6879673,0,0.04,1,0.771082461
-87.05754192,32.91531606,2017,16.89510918,19.64367104,21.43833351,1744.431801,33.33268356,5.664685726,6.822320938,8.260917664,0,2,1,0.823466897
-87.05752509,32.75683588,2016,12.33332539,16.81489372,21.70607567,1484.090933,32.71149063,0.460045367,3.719540596,8.950486183,0,0.06,1,0.88015151
-87.05670108,32.80834253,2017,16.92387199,19.70211411,21.41833878,1342.656801,33.23937607,5.603479385,6.677363396,8.190392494,0,1,1,0.88015151
-87.0559843,32.8634242,2017,16.62412071,19.42203903,21.21549606,1664.819266,33.03175354,5.492544174,6.609992981,8.187493324,0,1,1,0.823466897
-87.05432808,32.85562986,2016,12.0149231,16.38674355,21.32666206,1610.675755,32.21866608,0.308236092,3.556906939,8.692850113,0,0.05,1,0.823466897
-87.05347808,32.85714286,2016,12.0149231,16.38674355,21.32666206,1610.675755,32.21866608,0.308236092,3.556906939,8.692850113,0,0.08,1,0.823466897
-87.05183208,32.86323485,2016,12.0149231,16.38674355,21.32666206,1610.675755,32.21866608,0.308236092,3.556906939,8.692850113,0,0.2,1,0.823466897
-87.05113,32.88067,2018,10.93906,19.87366,19.6208,1795.484,30.88785,-1.567841,8.437628,6.143949,0,1.99,1,0.823466897
-87.05049,32.89886,2018,11.02565,19.93921,19.68119,1796.804,31.0007,-1.525884,8.507002,6.23218,0,2.99,1,0.823466897
-87.04733,32.85139,2018,10.91406,19.86777,19.55544,1763.051,30.8983,-1.651985,8.351764,6.146582,0,0.25,1,0.823466897
-87.04700813,31.91862006,2016,13.49992943,17.91103554,22.78875923,1541.18842,33.45079422,1.133852839,3.828901291,9.676118851,0,0.1,1,0.771082461
-87.04654509,32.78716587,2016,12.38969135,16.84073067,21.74388885,1508.115094,32.75661087,0.510178328,3.819336653,9.02927494,0,0.04,1,0.88015151
-87.04332715,32.883798,2017,16.54721832,19.31722832,21.11143112,1805.713265,32.95711517,5.459423542,6.594732285,8.199215889,0,2,1,0.794899821
-87.04288009,32.81725786,2016,12.13821888,16.54496765,21.44939423,1573.360692,32.42081833,0.359647155,3.579449415,8.781042099,0,0.04,1,0.863812745
-87.04078578,32.87194107,2017,16.50506401,19.27918816,21.082201,1796.309936,32.89943695,5.432598114,6.549602032,8.174153328,0,1,1,0.794899821
-87.04078102,32.64604695,2016,12.573452,17.06884384,21.95909882,1477.353992,33.06280518,0.598265052,3.758865833,9.148962975,1,6.080210537,1,0.880992055
-87.04059,32.87053,2018,10.8241,19.79679,19.5031,1779.531,30.80395,-1.661629,8.299362,6.0858,0,0.1,1,0.794899821
-87.04048444,32.73548897,2017,16.83140945,19.64954567,21.35709,1495.488694,33.04579163,5.482256413,6.565718651,8.138608932,0,2,1,0.88015151
-87.0399671,32.6444139,2016,12.573452,17.06884384,21.95909882,1477.353992,33.06280518,0.598265052,3.758865833,9.148962975,0,0.75,1,0.880992055
